epsilon,seed,uk_gini,uk_revenue,uk_welfare,opt_gini,opt_revenue,opt_welfare,gini_change_pct,revenue_change_pct,welfare_change_pct,allowance,basic_threshold,higher_threshold,basic_rate,higher_rate,additional_rate
2.0,42,0.35320523879675925,12242644.549889248,16303.595006671936,0.3443820680025995,11631632.098675482,16625.714526966105,-2.498029424539975,-4.990853477154112,1.9757576176441312,18655.376608783856,37581.49749469792,101360.94502403376,0.23974651887855788,0.36715507529807584,0.41715507529807583
2.0,101,0.35621139479381125,12217766.596172212,16044.568072542259,0.3433062380305616,11607622.56316926,16313.144562454654,-3.622892740620961,-4.9939080780452,1.6739402936749748,16337.944043894562,40298.52455077118,112997.89818198519,0.19854593419685887,0.4100887139449238,0.4600887139449238
2.0,202,0.3548518602690405,12306519.828318583,16162.81588368813,0.3401709697081057,11691304.581610398,16452.78878907075,-4.137188558009556,-4.999100113522835,1.7940741728999496,15787.346249324411,31854.95546276757,130000.0,0.1456454411413227,0.3955519700411668,0.4504957577232258
2.0,303,0.3519842209159014,12203017.626898436,16241.070597551627,0.35158085300107933,11592937.664190268,16532.542054113204,-0.11459829471119112,-4.999418843445758,1.79465666878831,16492.483525736934,49187.08946953426,60000.0,0.22728801254791642,0.32396143194766763,0.4
2.0,404,0.3522826135672623,12044012.7474435,16028.065520776387,0.33482987390253505,11443175.008053672,16300.317601455627,-4.954187062483277,-4.988684020758488,1.6985960054027298,17097.468485763537,33446.19170118823,60000.0,0.18550296205797517,0.3725462086623759,0.4308940895207021
2.0,505,0.3567085775097649,12758405.105417853,16521.552838180633,0.3438769232927317,12121171.777880663,16842.794852574636,-3.5972373601478598,-4.994615880840696,1.9443814848421896,18149.058447151285,43957.65891772574,130000.0,0.2380512294771685,0.41118945402100043,0.4611894540210004
2.0,606,0.35208964211592453,12356919.566193018,16403.493917203705,0.3435922249145307,11739707.780537348,16756.308947860052,-2.4134243627070693,-4.994867712372943,2.1508529368022082,17183.072632945867,30667.054631854317,60000.0,0.18713963091949445,0.31930451529037057,0.4112669864418941
2.0,707,0.3594217831106905,12796491.946099777,16289.56558421501,0.34284270056664257,12157662.23600078,16642.49542643862,-4.612709446979208,-4.9922253129202705,2.166600701528893,18055.26144775355,30000.0,72391.98184211167,0.1735898848742358,0.36498057300222025,0.43973243861437605
2.0,808,0.35576411864099344,12406763.391338915,16251.412335968098,0.34287272342337305,11786695.244609136,16570.537337160615,-3.623579372440671,-4.997823583567688,1.9636754922907222,16050.110033715728,31017.35209488793,60000.0,0.15470904398730143,0.3582938148798927,0.4136362407357066
2.0,909,0.35189945552030544,12114679.400594339,16219.559997581538,0.33730973419237764,11512008.158054505,16536.713630169783,-4.145991447004651,-4.974718872958929,1.9553775357379264,17004.837858475235,34719.719789544884,100252.9996430719,0.18799621034819472,0.3901635447409387,0.44016354474093866
