epsilon,seed,uk_epsilon,opt_epsilon,uk_seed,opt_seed,uk_gini,opt_gini,uk_revenue,opt_revenue,uk_welfare,opt_welfare,uk_allowance,opt_allowance,uk_basic_threshold,opt_basic_threshold,uk_higher_threshold,opt_higher_threshold,uk_basic_rate,opt_basic_rate,uk_higher_rate,opt_higher_rate,uk_additional_rate,opt_additional_rate
1.2,42,1.2,1.2,42.0,42.0,0.3337592319073099,0.3263049376524556,28020223.964420963,26619781.01915581,31108.486392255487,31700.03407200671,12570.0,17961.0619879872,50270.0,49978.59427346245,125140.0,116651.23986215211,0.2,0.2112480972679211,0.4,0.4219134594685865,0.45,0.4719134594685865
1.2,101,1.2,1.2,101.0,101.0,0.3292633325291325,0.3225648833279846,27404955.516131267,26035054.377632298,30987.98630558055,31554.228264437585,12570.0,18771.998448829836,50270.0,45980.1377382756,125140.0,123832.09949038614,0.2,0.2116252729812038,0.4,0.4115678129938959,0.45,0.4615678129938959
1.2,202,1.2,1.2,202.0,202.0,0.3354027709388965,0.332996207043116,28061518.02217453,26662396.481692422,30954.06558451332,31513.812768029013,12570.0,17248.00484684883,50270.0,51848.30772646513,125140.0,108045.30224789697,0.2,0.2169513884845694,0.4,0.4062607784485241,0.45,0.4562607784485241
1.2,303,1.2,1.2,303.0,303.0,0.3301357368681092,0.3198839971732548,27476610.981806837,26105551.90675166,30989.765301995612,31578.387982749133,12570.0,17677.717505100154,50270.0,48083.37382822235,125140.0,104512.57173156696,0.2,0.1984433642994263,0.4,0.4246503181501314,0.45,0.4746503181501314
1.2,404,1.2,1.2,404.0,404.0,0.3329626007892767,0.3266550479700603,27800209.93219276,26412191.352136914,30922.78815725413,31500.919351564127,12570.0,17306.915350647876,50270.0,47769.690034536514,125140.0,103702.7625403158,0.2,0.204193615229852,0.4,0.4003120433470508,0.45,0.4740403785191066
1.2,505,1.2,1.2,505.0,505.0,0.3373613388896237,0.32519117084656,28251175.46840628,26839401.280925065,31037.390200407823,31640.57514056811,12570.0,18251.141183806667,50270.0,49863.13045267829,125140.0,103539.77575727717,0.2,0.2055322125757898,0.4,0.4324627346620866,0.45,0.4824627346620866
1.2,606,1.2,1.2,606.0,606.0,0.3322580487259001,0.3285738464872063,28006109.043534853,26608479.254233137,31162.76657240048,31684.60515237135,12570.0,15997.881930280955,50270.0,45451.262207836495,125140.0,112134.10697049293,0.2,0.1918445440798087,0.4,0.3912000325077537,0.45,0.4692737512595077
1.2,707,1.2,1.2,707.0,707.0,0.3338508381064737,0.3263780252467765,28121889.038781215,26716647.83130991,31131.457179136956,31728.991374615776,12570.0,19710.390298154776,50270.0,47609.98132111834,125140.0,105068.91155170772,0.2,0.2287046424219045,0.4,0.402310971581024,0.45,0.4673459584677574
1.2,808,1.2,1.2,808.0,808.0,0.3332177695945919,0.3282275718149114,27712694.60111869,26328357.621686563,30940.502164071808,31500.384371884626,12570.0,17069.99024209082,50270.0,56327.948653537234,125140.0,109302.69044452209,0.2,0.2210230298504318,0.4,0.4258460335201977,0.45,0.4758460335201976
1.2,909,1.2,1.2,909.0,909.0,0.3284183849281619,0.3214607031332175,27199465.57217969,25840962.48686152,30896.823955639706,31464.764575444395,12570.0,18174.83505364041,50270.0,50849.72970903582,125140.0,115614.59674141466,0.2,0.2175862873801853,0.4,0.4222753065512824,0.45,0.4722753065512824
1.5,42,1.5,1.5,42.0,42.0,0.3337592319073099,0.3190337850776761,28020223.964420963,26619339.89677058,29370.6951839902,30052.483791306266,12570.0,18065.03365197476,50270.0,46162.286961757374,125140.0,105079.6887281526,0.2,0.1843920976296229,0.4,0.4365961324252909,0.45,0.4865961324252909
1.5,101,1.5,1.5,101.0,101.0,0.3292633325291325,0.322010191847498,27404955.516131267,26034895.89677209,29264.9396831317,29857.138841149153,12570.0,17788.56845435278,50270.0,50486.12363677318,125140.0,121671.93985148086,0.2,0.2116252729812038,0.4,0.4243008633011492,0.45,0.4743008633011492
1.5,202,1.5,1.5,202.0,202.0,0.3354027709388965,0.3320520664380777,28061518.02217453,26658972.23479848,29151.920790444885,29698.325150465047,12570.0,15739.999552721289,50270.0,50489.6086995816,125140.0,107868.93248414066,0.2,0.1971236884583678,0.4,0.4092024881599578,0.45,0.4625000919791619
1.5,303,1.5,1.5,303.0,303.0,0.3301357368681092,0.3193702389153299,27476610.981806837,26103884.805383485,29283.416497195183,29946.79944824817,12570.0,19102.689874111027,50270.0,48914.61192772502,125140.0,104249.59296626998,0.2,0.2157686253419088,0.4,0.4246503181501314,0.45,0.4746503181501314
1.5,404,1.5,1.5,404.0,404.0,0.3329626007892767,0.3255845119657845,27800209.93219276,26410246.710491315,29141.107346176064,29751.278099920073,12570.0,17358.457196180014,50270.0,47806.518561698365,125140.0,101904.05719148029,0.2,0.2007682312776282,0.4,0.4076293218730863,0.45,0.4721857623338774
1.5,505,1.5,1.5,505.0,505.0,0.3373613388896237,0.324825183599114,28251175.46840628,26839654.7426525,29292.22671686321,29930.136466525524,12570.0,18411.558743533133,50270.0,46593.90493267622,125140.0,127810.76202044914,0.2,0.1972072347538966,0.4,0.4335510256322622,0.45,0.4835510256322622
1.5,606,1.5,1.5,606.0,606.0,0.3322580487259001,0.3252281613351553,28006109.043534853,26606699.224658597,29419.568594153017,29942.775242588945,12570.0,13800.456033405222,50270.0,45014.99591211291,125140.0,100621.23912107652,0.2,0.1650579036059526,0.4,0.3933840995326532,0.45,0.4873846185736042
1.5,707,1.5,1.5,707.0,707.0,0.3338508381064737,0.3199282973824882,28121889.038781215,26717007.116996583,29373.42943042188,29997.691132477747,12570.0,18961.85051555999,50270.0,46104.83212285423,125140.0,114266.67490245913,0.2,0.196468866018421,0.4,0.4350773507888278,0.45,0.4850773507888278
1.5,808,1.5,1.5,808.0,808.0,0.3332177695945919,0.3242958979518995,27712694.60111869,26327831.570545334,29207.606675059396,29829.700045703295,12570.0,19005.33838960686,50270.0,56786.13681559148,125140.0,104127.85028111846,0.2,0.2359446631737666,0.4,0.4345130968519512,0.45,0.4845130968519512
1.5,909,1.5,1.5,909.0,909.0,0.3284183849281619,0.318070218173512,27199465.57217969,25839518.056612432,29188.11020970565,29808.325658046404,12570.0,16495.168227972044,50270.0,45331.52087170734,125140.0,129327.34594728977,0.2,0.1748350063588389,0.4,0.4308338156269317,0.45,0.4808338156269317
2.0,42,2.0,2.0,42.0,42.0,0.3337592319073099,0.3203971080925205,28020223.964420963,26621632.061033424,26724.02671705495,27385.23296558762,12570.0,16541.6149684745,50270.0,48036.24193295761,125140.0,110908.8324631347,0.2,0.18010197248526,0.4,0.4390439105437665,0.45,0.4940643587955067
2.0,101,2.0,2.0,101.0,101.0,0.3292633325291325,0.3215589369888678,27404955.516131267,26035096.099413738,26621.9973402551,27240.92715159557,12570.0,17918.51039117531,50270.0,50341.051010570176,125140.0,117751.96340434074,0.2,0.2116252729812038,0.4,0.4243008633011492,0.45,0.4745233601331729
2.0,202,2.0,2.0,202.0,202.0,0.3354027709388965,0.3276947443559421,28061518.02217453,26664609.201657683,26387.410026244164,26930.781199552148,12570.0,15739.999552721289,50270.0,49244.79778955486,125140.0,130000.0,0.2,0.1854672201725049,0.4,0.4310152354053317,0.45,0.4810152354053317
2.0,303,2.0,2.0,303.0,303.0,0.3301357368681092,0.3185783980229257,27476610.981806837,26103393.707093302,26667.114507534436,27398.212768656056,12570.0,19607.10382740628,50270.0,47452.62562044421,125140.0,102682.72999780398,0.2,0.2157098335566332,0.4,0.4230400315170861,0.45,0.4730400315170861
2.0,404,2.0,2.0,404.0,404.0,0.3329626007892767,0.3252148369244529,27800209.93219276,26416313.476089504,26396.551999396415,27026.069804664858,12570.0,17611.84138442246,50270.0,47930.4944261621,125140.0,101786.6847423722,0.2,0.2007682312776282,0.4,0.4146243283027273,0.45,0.4667146794134986
2.0,505,2.0,2.0,505.0,505.0,0.3373613388896237,0.3231990545217036,28251175.46840628,26838681.764657155,26643.70421209661,27368.337340298316,12570.0,18411.558743533133,50270.0,45752.8119102235,125140.0,113039.69553203296,0.2,0.1897180748162321,0.4,0.4335510256322622,0.45,0.4835510256322622
2.0,606,2.0,2.0,606.0,606.0,0.3322580487259001,0.3206329216717394,28006109.043534853,26605855.62808496,26758.41276520866,27339.98666613929,12570.0,14857.35031656601,50270.0,47100.36987505805,125140.0,101009.91025458522,0.2,0.1650579036059526,0.4,0.4332240930441862,0.45,0.4832240930441862
2.0,707,2.0,2.0,707.0,707.0,0.3338508381064737,0.3211423537456426,28121889.038781215,26717902.86143768,26689.863268313107,27384.739347593513,12570.0,19710.390298154776,50270.0,47609.98132111834,125140.0,115098.589270484,0.2,0.2144687532983794,0.4,0.4300327179019194,0.45,0.4850773507888278
2.0,808,2.0,2.0,808.0,808.0,0.3332177695945919,0.3186269262757124,27712694.60111869,26328788.4092615,26564.20482808097,27262.400063564823,12570.0,18513.604094879254,50270.0,46671.87934190152,125140.0,115457.38504041253,0.2,0.192719056691245,0.4,0.4399083736640228,0.45,0.4899083736640228
2.0,909,2.0,2.0,909.0,909.0,0.3284183849281619,0.3173480479223252,27199465.57217969,25847757.47121359,26557.234230645296,27255.748085854328,12570.0,19107.54246615704,50270.0,46329.73591634625,125140.0,130000.0,0.2,0.2048947647738184,0.4,0.4310530723745805,0.45,0.4810530723745805
